wk,day,date,time,result,home,away,attendance,venue,referee,match_report,season,mean_points_home,mean_score_home,mean_points_away,mean_score_away,b365h,b365d,b365a,bwh,bwd,bwa,iwh,iwd,iwa,psh,psd,psa,whh,whd,wha,vch,vcd,vca,max_h,max_d,max_a,avg_h,avg_d,avg_a,bet,wager_h,wager_d,wager_a,wager_total,profit,cum_profit
18,Sat,2019-12-14,20:00 (13:00),A,Nîmes,Nantes,12098,Stade des Costières,Karim Abed,Match Report,2019,0.5,0.5,0.25,0.25,3.4,3.1,2.3,3.3,3.1,2.35,3.35,3.15,2.3,3.41,3.26,2.33,3.25,3.2,2.25,3.3,3.1,2.3,3.44,3.34,2.47,3.28,3.16,2.32,1,0.2921710428457087,0.3009186788590533,0.40691027829523796,1,0.005068387389237872,0.3503955078828138
16,Tue,2019-12-17,18:30 (11:30),A,Werder Bremen,Mainz 05,37720,Weserstadion,Frank Willenborg,Match Report,2019,0.5,1,0.75,1.5,1.75,4.2,4.2,1.8,4,4.1,1.85,3.9,3.9,1.84,4.01,4.2,1.83,3.9,4,1.83,4.1,3.9,1.87,4.32,4.32,1.82,4,4.08,1,0.5359801488833748,0.23200992555831262,0.23200992555831262,1,0.0022828784119106604,0.3526783862947245
16,Tue,2019-12-17,20:30 (13:30),D,Dortmund,RB Leipzig,80200,Signal Iduna Park,Tobias Stieler,Match Report,2019,2.5,3,2.25,2.75,2.1,3.8,3.2,2.1,3.8,3.25,2.2,3.8,3,2.24,3.79,3.14,2.2,3.7,3.1,2.25,3.8,3,2.3,3.92,3.33,2.19,3.76,3.11,1,0.4390923218718676,0.25763069905747327,0.3032769790706592,1,0.009912340305295197,0.3625907266000197
17,Sat,2019-12-21,15:30 (08:30),H,Köln,Werder Bremen,50000,RheinEnergieSTADION,Daniel Schlager,Match Report,2019,1.75,1.75,1,1.75,2.05,3.75,3.4,2.1,3.7,3.25,2,3.6,3.6,2.09,3.87,3.39,2.1,3.7,3.3,2.1,3.8,3.25,2.21,3.9,3.6,2.08,3.74,3.32,1,0.45859872611464975,0.25987261146496815,0.28152866242038216,1,0.01350318471337597,0.37609391131339565
19,Sat,2019-12-21,20:45 (13:45),H,Rennes,Bordeaux,26403,Roazhon Park,Thomas Léonard,Match Report,2019,3,2.5,0.5,0.75,2.05,3.4,3.75,2.05,3.3,3.8,2.05,3.3,3.9,2.04,3.32,4.17,2,3.2,4,2,3.2,4,2.13,3.43,4.2,2.03,3.27,3.93,1,0.4698951983012535,0.29180080827453936,0.23830399342420716,1,8.767723816698325e-4,0.3769706836950655
18,Sun,2019-12-22,16:30 (10:30),A,Tottenham,Chelsea,61104,Tottenham Hotspur Stadium,Anthony Taylor,Match Report,2019,2,2.5,1.5,2,2.37,3.75,2.75,2.3,3.7,2.9,2.3,3.4,3.05,2.41,3.67,2.92,2.35,3.6,2.88,2.38,3.6,2.88,2.45,3.79,3.05,2.37,3.65,2.88,1,0.40821047055707593,0.26388275801183014,0.3279067714310939,1,1.1565286483650183e-4,0.377086336559902
19,Thu,2019-12-26,15:00 (09:00),D,Sheffield Utd,Watford,30222,Bramall Lane,David Coote,Match Report,2019,1.75,2,0.75,0.75,1.83,3.6,4.33,1.85,3.5,4.5,1.85,3.5,4.45,1.9,3.58,4.49,1.85,3.5,4.4,1.83,3.5,4.6,1.95,3.7,4.65,1.86,3.54,4.46,1,0.5137737961926092,0.2707726763717805,0.21545352743561028,1,0.0018589025755877397,0.3789452391354897
24,Tue,2020-01-21,19:30 (13:30),H,Aston Villa,Watford,40867,Villa Park,Martin Atkinson,Match Report,2020,0,1,3,3,2.8,3.5,2.45,2.9,3.5,2.45,2.8,3.4,2.5,2.87,3.47,2.54,2.8,3.4,2.5,2.9,3.4,2.5,3,3.65,2.58,2.86,3.46,2.49,1,0.335041092966165,0.2753762407941082,0.38958266623972676,1,0.005123278898495176,0.3840685180339849
24,Tue,2020-01-21,20:15 (14:15),D,Chelsea,Arsenal,40577,Stamford Bridge,Stuart Attwell,Match Report,2020,3,3,1,1,1.72,3.9,4.5,1.75,3.9,4.75,1.75,3.9,4.4,1.74,4.01,4.82,1.73,3.9,4.6,1.73,3.9,4.8,1.79,4.1,5.2,1.74,3.95,4.71,1,0.5615402849843285,0.24516027076145075,0.19329944425422077,1,0.005157110121948083,0.389225628155933
21,Sun,2020-01-26,16:00 (09:00),H,Getafe,Betis,13244,Coliseum Alfonso Pérez,Eduardo Prieto,Match Report,2020,0,0,1,1,2.05,3.3,3.8,2.1,3.25,3.8,2.05,3.3,3.95,2.05,3.36,4.07,2,3.3,4,2.05,3.3,3.8,2.13,3.43,4.2,2.03,3.3,3.94,1,0.4698951983012535,0.29180080827453936,0.23830399342420716,1,8.767723816698325e-4,0.3901024005376028
